Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction,Star Name,Star Temperature [K],Star H Mag,Star J Mag,Planet Period [days],Eccentricity,Inclination,Impact Parameter,Transit Depth [%],Planet Radius [Rjup],Planet Radius [Re],observed_flag
TOI-2875.01,TPC,,0.0004198569766226,-0.035533528024815,0.0364644600745013,0.0375884772226687,0.0359533850014376,0.0360446030978786,0.058309519,1.058309519,1,Premium (non-grazing),0.4948541666666666,TOI-2875,8573.0,12.069,12.129,3.4142143,0,90,0,0.34,1.543028382,17.2957754,False
TOI-2876.01,TPC,,-0.0043552163387726,-0.1217268072814847,0.1132800031634397,0.12551568774158,0.1173715909427121,0.1176352195022123,0.097621719,1.097621719,1,Premium (non-grazing),0.4965520833333333,TOI-2876,5137.0,10.55,10.937,6.2996307,0,90,0,0.953,0.876816014,9.82821381,False
TOI-2885.01,TPC,,0.0016916374688742,-0.0658999319760705,0.0704872600546238,0.0722211168554293,0.0675915694449447,0.0687956225857495,0.064498062,1.064498062,1,Premium (non-grazing),0.4967083333333333,TOI-2885,9608.0,11.532,11.509,6.3350651,0,90,0,0.416,1.431378959,16.04429918,False
TOI-2886.01,TPC,,0.0002971985125423,-0.0384459164843553,0.0402156293125404,0.0422200327593551,0.0387431149968977,0.0399184307999981,0.146696967,1.146696967,1,Premium (non-grazing),0.4982604166666666,TOI-2886,6141.0,10.977,11.206,1.6020002,0,90,0,2.152,1.737648403,19.47726747,False
TOI-2887.01,TPC,,0.0027991674988361,-0.1020495001494916,0.1074586172975587,0.1086109587183452,0.1048486676483277,0.1046594497987226,0.143597508,1.143597508,1,Premium (non-grazing),0.4978854166666667,TOI-2887,7185.0,12.409,12.662,4.9182798,0,90,0,2.062024443,1.606835933,18.01099301,False
TOI-2891.01,TPC,,-0.0015585275838834,-0.1425185425042152,0.1426716757399042,0.1497875797221949,0.1409600149203317,0.1442302033237877,0.094233752,1.094233752,1,Premium (non-grazing),0.4976874999999999,TOI-2891,6693.0,10.898,11.114,17.3076615,0,90,0,0.888,1.661601349,18.6248575,False
TOI-2896.01,TPC,,-0.0011606479022833,-0.0221737037232425,0.0201241890601772,0.0224399749043906,0.0210130558209592,0.0212848369624606,0.050695167,1.050695167,1,Premium (non-grazing),0.4965833333333333,TOI-2896,5434.0,11.542,11.928,1.3475728,0,90,0,0.257,1.657756739,18.58176334,False
TOI-2901.01,TPC,,-0.000242563017245,-0.0687110202532569,0.0682857347456866,0.0724920338701408,0.0684684572360118,0.0685282977629316,0.11827933,1.11827933,1,Premium (non-grazing),0.4941770833333334,TOI-2901,8097.0,11.408,11.491,4.6086828,0,90,0,1.399,1.981783086,22.21376842,False
TOI-2903.01,TPC,,-0.0019866504714398,-0.0898749474434248,0.0866251743132219,0.0924620089817354,0.087888296971985,0.0886118247846617,0.055407581,1.055407581,1,Premium (non-grazing),0.49834375,TOI-2903,5594.0,11.563,11.931,3.5947639,0,90,0,0.307,0.499039632,5.59372562,False
TOI-2904.01,TPC,,-1.4165886113750832e-05,-0.0980937261419178,0.1037861023019906,0.1058563431055687,0.098079560255804,0.1038002681881043,0.050497525,1.050497525,1,Premium (non-grazing),0.4957916666666666,TOI-2904,5673.0,11.448,11.795,7.5010022,0,90,0,0.255,0.644563716,7.224902274,False
