Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction
KOI-13b,MCS,True,0.2508548042795573,0.1955382335390607,0.2847555573168137,0.0552653203135974,0.0553165707404966,0.0339007530372564,0.087373,1.087373,1,Premium (non-grazing),0.4967499999999999
TOI-1136b,MCS,False,0.6794442616054278,0.5347619804136281,0.7869301844234721,0.14489055732288,0.1446822811917997,0.1074859228180442,0.018,1.018,1,Premium (non-grazing),0.4937604166666666
TOI-532b,MCS,False,0.3281088301434434,0.2223180505970906,0.4414250695707306,0.1134895375382369,0.1057907795463528,0.1133162394272871,0.0877,1.0877,1,Premium (non-grazing),0.49578125
HATS-70b,MCS,False,0.2238138593249317,0.0984217343704481,0.364230776227844,0.135149992913543,0.1253921249544836,0.1404169169029122,0.074,1.074,1,Premium (non-grazing),0.4956145833333333
WASP-42b,MCS,False,0.3987714472202181,0.2958196312834092,0.4962316991130743,0.1092141296106037,0.1029518159368088,0.0974602518928562,0.128602201,1.128602201,1,Premium (non-grazing),0.4966041666666667
TOI-2236b,MCS,False,0.7458651928461018,0.5884766142431442,0.8519950557146647,0.1522433565756508,0.1573885786029575,0.1061298628685629,0.083751915,1.083751915,1,Premium (non-grazing),0.4891145833333333
HD73583b,MCS,False,0.1582679075821342,0.025678983103534,0.3081698800342923,0.1471868072024337,0.1325889244786002,0.149901972452158,0.03803,1.03803,1,Premium (non-grazing),0.4960833333333333
TOI-269b,MCS,False,0.5399295858616557,0.2711240179039241,0.8195565171225987,0.2578208933262131,0.2688055679577316,0.2796269312609429,0.0638,1.0638,1,Premium (non-grazing),0.487375
TOI-3693b,MCS,False,0.1470758194984868,0.046810230411733,0.2668775539166407,0.1143387676583282,0.1002655890867537,0.1198017344181539,0.146024346,1.146024346,1,Premium (non-grazing),0.4894166666666666
TOI-139b,MCS,False,0.3470979858984442,0.0721431465611006,0.6550939638344715,0.2871633843895964,0.2749548393373435,0.3079959779360273,0.0321,1.0321,1,Premium (non-grazing),0.4875729166666667
TOI-1244b,MCS,False,0.4249576656612389,0.2506111301405412,0.6151741011084624,0.182926104939286,0.1743465355206976,0.1902164354472234,0.03012719,1.03012719,1,Premium (non-grazing),0.4931458333333333
TOI-238b,MCS,False,0.391907385114641,0.116750249452435,0.687921150930406,0.2758168450485972,0.275157135662206,0.2960137658157649,0.02,1.02,1,Premium (non-grazing),0.4806145833333333
K2-121b,MCS,False,0.6612704607914186,0.4477806257310606,0.8717652328322198,0.2046651515083628,0.213489835060358,0.2104947720408012,0.108881,1.108881,1,Premium (non-grazing),0.4879687499999999
TOI-157b,MCS,False,0.7871437430059228,0.6047478323980712,0.8807622342054113,0.1598445160010168,0.1823959106078516,0.0936184911994885,0.11329,1.11329,1,Premium (non-grazing),0.4885625
HAT-P-36b,MCS,False,0.3795046466013968,0.2928906338801468,0.4609553518608567,0.0939312047644105,0.0866140127212499,0.0814507052594599,0.126,1.126,1,Premium (non-grazing),0.4929166666666666
HAT-P-65b,MCS,False,0.4330138982960706,0.3070041761553493,0.5702183231777239,0.1374064760535829,0.1260097221407212,0.1372044248816533,0.1045,1.1045,1,Premium (non-grazing),0.4916979166666666
TOI-1136d,MCS,False,0.220776889696615,0.1077685130765348,0.3500893366206643,0.1228332065841601,0.1130083766200801,0.1293124469240493,0.04379,1.04379,1,Premium (non-grazing),0.4968125
KELT-10b,MCS,False,0.2058405066189753,0.0823845936837567,0.3499915614919322,0.1379091191677282,0.1234559129352186,0.1441510548729568,0.119,1.119,1,Premium (non-grazing),0.498125
WASP-129b,MCS,False,0.5823460660547236,0.4367235938248892,0.6957782930226574,0.1435343212971569,0.1456224722298344,0.1134322269679337,0.106188108,1.106188108,1,Premium (non-grazing),0.4935833333333334
WASP-159b,MCS,False,0.1622722462284642,0.0389404504195464,0.3006329085181592,0.1364504335744888,0.1233317958089177,0.1383606622896949,0.067209718,1.067209718,1,Premium (non-grazing),0.493625
TOI-2818b,MCS,False,0.3267959964783817,0.2110782351074226,0.4494534817637806,0.1207260665152396,0.115717761370959,0.1226574852853988,0.113967079,1.113967079,1,Premium (non-grazing),0.4933437499999999
K2-31b,MCS,False,0.9423378392396102,0.7061733281816054,1.0707473688146931,0.1889667594030898,0.2361645110580048,0.1284095295750829,0.135,1.135,2,Good (includes grazing),0.4493125
HIP67522b,MCS,False,0.0234754788503444,-0.1698170063346523,0.2163575050208376,0.2008705114880648,0.1932924851849967,0.1928820261704932,0.06644,1.06644,1,Premium (non-grazing),0.4927395833333333
WASP-135b,MCS,False,0.7262969768008489,0.557939442272837,0.8644494146544511,0.1675162317112023,0.1683575345280119,0.1381524378536022,0.139157803,1.139157803,1,Premium (non-grazing),0.4908854166666666
HATS-5b,MCS,False,0.1495599466412645,0.0769056735453968,0.2273088182137329,0.0759988927854095,0.0726542730958677,0.0777488715724683,0.1076,1.1076,1,Premium (non-grazing),0.49778125
TOI-677b,MCS,False,0.920476042135912,0.6522489300986258,1.0503837321613263,0.2008081512782014,0.2682271120372861,0.1299076900254143,0.09404,1.09404,2,Good (includes grazing),0.4323333333333333
TOI-6008b,MCS,False,0.4331903526241444,0.3161927631321246,0.5534421711774721,0.1275612801321234,0.1169975894920197,0.1202518185533276,0.03867,1.03867,1,Premium (non-grazing),0.4963958333333333
WASP-11b,MCS,False,0.0427641048122861,-0.0585281379438038,0.1511506289875329,0.1093526681378458,0.1012922427560899,0.1083865241752468,0.128164697,1.128164697,1,Premium (non-grazing),0.49409375
K2-417b,MCS,False,0.337872338399228,-0.0040994266526963,0.6981647546669698,0.3442797282704884,0.3419717650519244,0.3602924162677418,0.0525,1.0525,1,Premium (non-grazing),0.4864166666666666
TOI-4479b,MCS,False,0.411981360610467,0.0974286825697868,0.7475535819442782,0.3133534593727834,0.3145526780406801,0.3355722213338112,0.062,1.062,1,Premium (non-grazing),0.4828541666666667
HAT-P-63b,MCS,False,0.2424193833545466,0.1553579719773102,0.3327153250524795,0.0897628493523286,0.0870614113772364,0.0902959416979328,0.1191,1.1191,1,Premium (non-grazing),0.4927604166666667
TOI-1180b,MCS,False,0.4667871321947262,0.2535631392968602,0.6993070947932623,0.2177707338149003,0.213223992897866,0.232519962598536,0.03748996,1.03748996,1,Premium (non-grazing),0.4936875
Kepler-450b,MCS,False,0.4365412215724287,0.2176364108550369,0.697303621834132,0.2298772973461413,0.2189048107173918,0.2607624002617033,0.035375,1.035375,1,Premium (non-grazing),0.4845729166666667
TOI-125b,MCS,False,0.2233538118692358,0.0831115986676331,0.3863412598659165,0.1564430884494226,0.1402422132016026,0.1629874479966806,0.0295,1.0295,1,Premium (non-grazing),0.4987604166666667
WASP-50b,MCS,False,0.6623832330250206,0.5157625762762673,0.7847420683273745,0.15518594238552,0.1466206567487532,0.1223588353023539,0.1404,1.1404,1,Premium (non-grazing),0.4910208333333333
HD209458b,MCS,True,0.4949794155541728,0.3859627036637683,0.563643619397047,0.1088703800348029,0.1090167118904045,0.0686642038428741,0.120033725,1.120033725,1,Premium (non-grazing),0.4944791666666667
HD110067f,MCS,False,0.3248779964742206,0.2449709245767928,0.3964685634186991,0.0839150987630567,0.0799070718974278,0.0715905669444784,0.03026,1.03026,1,Premium (non-grazing),0.4907291666666666
TOI-163b,MCS,False,0.3470571007929774,0.2527518890758446,0.4354214951392797,0.0979423062590324,0.0943052117171328,0.0883643943463022,0.09082,1.09082,1,Premium (non-grazing),0.4950104166666667
WASP-153b,MCS,False,0.59097131881484,0.4486191410706922,0.7134349777786074,0.1460142259789428,0.1423521777441477,0.1224636589637674,0.092,1.092,1,Premium (non-grazing),0.4938645833333333
HAT-P-46b,MCS,False,0.6280481356284132,0.3648818625171091,0.8822074554526653,0.2394509956502782,0.2631662731113041,0.2541593198242521,0.0942,1.0942,1,Premium (non-grazing),0.4823854166666667
HATS-64b,MCS,False,0.297880182038177,0.1866186565225457,0.4184378477421617,0.1179912552624304,0.1112615255156312,0.1205576657039846,0.0817,1.0817,1,Premium (non-grazing),0.4923125
WASP-10b,MCS,True,0.5226319912794775,0.3773835884121472,0.6700569682478077,0.1554693406224557,0.1452484028673302,0.1474249769683302,0.169724177,1.169724177,1,Premium (non-grazing),0.49834375
