Star Name,Planet Name,Star Radius [Rs],Planet Radius [Rj],Planet Semi-major Axis [AU],Occultation_Probability
1007.01,1007.01,2.70235,1.318157319979858,0.07959624682110161,0.1658009123097313
1011.01,1011.01,0.941335,0.1290536610529849,0.03381936733188821,0.1312656617932217
1015.01,1015.01,6.79961,1.9563682752591895,0.021966304541820802,1.0
1017.01,1017.01,1.65429,1.8774945291780896,0.02440359120238814,0.3520164605260782
1019.01,1019.01,1.56203,2.1489805878168187,0.07147156043878133,0.11600635740612544
1021.01,1021.01,1.13944,0.298589147429083,0.03331500295097639,0.1633384975506136
1018.01,1018.01,2.00193,2.04410200623846,0.05733022574999566,0.17943022028239194
1022.01,1022.01,1.38126,0.3056656160129805,0.0438882198204478,0.14968892229539646
1028.01,1028.01,0.684487,0.1076850811839086,0.017682700919295104,0.1829271731236788
1027.02,1027.02,0.680275,0.2784472625048956,0.08468052592301878,0.038930615935803374
1027.01,1027.01,0.680275,0.2408729272366138,0.03775636152675952,0.0868385705377258
1040.01,1040.01,6.03576,1.0340012422368936,0.053299860460684544,0.5358972338282937
1036.01,1036.01,1.17554,0.5450682935992839,0.047114628647813246,0.1215608737529565
1047.01,1047.01,0.926801,0.5104496240418508,0.013829454962346763,0.3292970539679229
1053.01,1053.01,3.48732,1.1676826211212443,0.06032204937248874,0.27810223240692694
1060.01,1060.01,1.13906,0.2538268883045655,0.030865515653542376,0.17555072701883076
1061.01,1061.01,1.08183,0.2038552884378671,0.012993516583183843,0.39469194392094886
1058.01,1058.01,3.44756,1.1578557151211324,0.09792740496277522,0.1693713603204788
1059.01,1059.01,0.943786,1.5185680490124769,0.08080797795690052,0.06329525061803055
1063.01,1063.01,0.791742,0.1873194405807643,0.08479573143035862,0.04447734711858174
1064.02,1064.02,0.737189,0.2289637177193252,0.09298151036095358,0.03804728271124559
1064.01,1064.01,0.737189,0.2212534270091758,0.06066795610606441,0.05825165924330759
1077.01,1077.01,0.984326,1.1268800083789794,0.024500647866160262,0.2088151148530446
1074.01,1074.01,0.741671,0.2542742171135231,0.10399994963687072,0.034333025803088675
1075.01,1075.01,0.580337,0.1674055335665529,0.011913963538785046,0.23324231217980362
1081.01,1081.01,1.23975,1.0230199583044255,0.04143622617860072,0.15093827256101633
1082.01,1082.01,0.649613,0.2611938828585016,0.10870283301845952,0.028939697541992434
1083.01,1083.01,0.491323,0.2861809897795557,0.08581367095655155,0.028219814171944885
1080.01,1080.01,0.199988,0.1815003566189224,0.035223208006293714,0.02886664011528424
1088.01,1088.01,1.40011,0.4892184340066021,0.02228003040650119,0.3027356962193875
1085.01,1085.01,1.27589,1.33353784423432,0.04454643769117397,0.14750394013181575
1087.01,1087.01,3.09235,1.2754772573155038,0.09892372517575568,0.1515350941060469
1086.01,1086.01,2.084,1.3155955705497118,0.046803449926511975,0.22050275521971122
1090.01,1090.01,2.93941,2.032022406562972,0.038635689593237356,0.3789429530786109
1091.01,1091.01,2.38732,1.3384267811783137,0.03333457852023665,0.35224025091831956
1094.01,1094.01,2.28468,0.8104055326749845,0.016893526510006997,0.6518542995833061
1095.01,1095.01,2.66473,1.063138592709674,0.029440256345346152,0.4381859845878194
1099.01,1099.01,0.800152,0.2196803312546858,0.06124149260554687,0.06247504003634911
1097.01,1097.01,0.983215,0.1939257504476025,0.08639385465598924,0.05399788256472205
1100.01,1100.01,1.14849,0.3779942263889665,0.1478730544210818,0.03734051838548039
1097.02,1097.02,0.983215,0.2331777404867677,0.11386456542998234,0.04113521630363259
1101.01,1101.01,1.56013,0.9123465054920832,0.037666451658148366,0.20419600277298836
1105.01,1105.01,0.755833,0.2556405500895205,0.08600323800188654,0.042290801128795213
1106.01,1106.01,4.93786,1.3172027282772898,0.08929520453634714,0.26421172709439883
1102.01,1102.01,0.705027,0.2456735421445756,0.05919421172257848,0.057372349727746935
1108.01,1108.01,1.96177,1.9763706024450285,0.09116546811673075,0.1104326453032337
1111.01,1111.01,2.12948,1.747197222486432,0.11698639858019574,0.09178890110888534
1107.01,1107.01,1.74836,1.2354696588759582,0.05504449408310476,0.15843755572077955
1110.01,1110.01,1.6444,0.9767971114250548,0.03963549375826399,0.20471636818921876
1112.01,1112.01,2.20928,0.4394395992138981,0.04388512270201696,0.23890078079881089
1117.01,1117.01,1.02422,0.2290823814972304,0.032759661272875655,0.14873715415380534
1116.01,1116.01,0.906282,0.195653552507833,0.054664163229005365,0.07881098461707176
1113.01,1113.01,0.53475,0.4372806161108935,0.052581419739566745,0.05126927693585908
1119.01,1119.01,2.06848,2.1386957989705144,0.1059287393368877,0.1004587570050866
1122.01,1122.01,1.38498,0.3772002202064567,0.04973657508451342,0.13312267777651007
1126.01,1126.01,0.73404,0.2339793477172271,0.02489080840102359,0.14163647782829195
1123.01,1123.01,1.24212,1.3539500481172717,0.021127900492562118,0.3040284897765264
1132.01,1132.01,1.86011,0.310633061433447,0.03231168457851862,0.27231110367442035
1128.01,1128.01,1.63378,0.5572611952805909,0.11755909994252435,0.06689531024961892
1130.01,1130.01,0.741921,0.9940600548313098,0.07016616450264301,0.05594341922417784
1130.02,1130.02,0.741921,0.3136913234487775,0.043437726634976755,0.08288165515535238
1133.01,1133.01,2.19683,0.4337968024674089,0.030875197949413933,0.33760415454172726
1135.01,1135.01,1.15415,0.8439670142253679,0.081618282392411,0.07070308044370022
1136.02,1136.02,0.977727,0.2223012118418844,0.06587420649692238,0.07063650825038045
1136.01,1136.01,0.977727,0.4985796776842164,0.10457515627846987,0.04575805632039946
