Planet,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,k_rp_rs,Max Tier,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,dominant_regime
HAT-P-36b,False,0.4059496399239918,0.3598948747206997,0.4652104869834088,0.126,3,0.0,0.0,1.0,True Eclipse
HAT-P-41b,True,0.195097503351168,0.1039681383118729,0.3029353145540803,0.1028,3,0.0,0.0,1.0,True Eclipse
KELT-11b,False,0.4077391290047588,0.3898868584095399,0.4251042986078427,0.0514,3,0.0,0.0,1.0,True Eclipse
TOI-1420b,False,0.3916302178476376,0.3034317608193715,0.4636103215320492,0.11816,3,0.0,0.0,1.0,True Eclipse
WASP-107b,False,0.0939303823080043,0.040095079085601,0.1568553507111404,0.146358976,3,0.0,0.0,1.0,True Eclipse
HAT-P-7b,True,0.5472841348563299,0.4619877683737805,0.6366971701040157,0.07809,3,0.0,0.0,1.0,True Eclipse
WASP-17b,True,0.3796512414993631,0.3100513307995584,0.4648290306400299,0.130152994,3,0.0,0.0,1.0,True Eclipse
WASP-121b,True,0.1489139572359331,0.1004089880943292,0.1994837676488201,0.12454,3,0.0,0.0,1.0,True Eclipse
KELT-18b,False,0.1077239019358029,0.039717741483345,0.1786060681355611,0.08462,3,0.0,0.0,1.0,True Eclipse
HD202772Ab,True,0.428415325116448,0.3603709859267064,0.5138649892462678,0.06128,3,0.0,0.0,1.0,True Eclipse
WASP-62b,True,0.2214241280204664,0.111421577369289,0.3147363713829695,0.106745735,3,0.0,0.0,1.0,True Eclipse
WASP-82b,False,0.1685732658204587,0.0691956295818554,0.2899271044209851,0.079274071,3,0.0,0.0,1.0,True Eclipse
HAT-P-32b,True,0.1125636081845447,0.0450663988094346,0.1788991331793838,0.14886,3,0.0,0.0,1.0,True Eclipse
MASCARA-4b,False,0.2935582306137607,0.2169779524504457,0.3702822678844225,0.0869,3,0.0,0.0,1.0,True Eclipse
HAT-P-16b,False,0.4161366181630523,0.3302630241995916,0.5043600730738343,0.1071,3,0.0,0.0,1.0,True Eclipse
WASP-19b,True,0.670790708496884,0.6455382275187131,0.6954947833734226,0.1441,3,0.0,0.0,1.0,True Eclipse
HD2685b,False,0.1035420543434721,0.0504332465674559,0.1561898596465179,0.09467,3,0.0,0.0,1.0,True Eclipse
HAT-P-57b,False,0.1650900452760088,0.0830065482942756,0.2576989731817427,0.096652471,3,0.0,0.0,1.0,True Eclipse
HAT-P-67b,False,0.1277877622851789,0.0475540398465258,0.2294198785957668,0.0834,3,0.0,0.0,1.0,True Eclipse
KELT-9b,True,0.1687747885944754,0.1300996540863851,0.1983635672385865,0.08228,3,0.0,0.0,1.0,True Eclipse
TOI-628b,False,0.2029553110404629,0.0973932833022244,0.3230915907653189,0.08108,3,0.0,0.0,1.0,True Eclipse
WASP-3b,True,0.5151023013008451,0.4887640865153095,0.5406328092474731,0.105785117,3,0.0,0.0,1.0,True Eclipse
AUMicb,False,0.1600583488110534,0.0634623608309432,0.2740078563357056,0.0488,3,0.0,0.0,1.0,True Eclipse
WASP-76b,True,0.1160469717903894,0.0483919800663928,0.1829594950358026,0.10873,3,0.0,0.0,1.0,True Eclipse
WASP-189b,True,0.4686162251727785,0.3613520785598866,0.5313671902231786,0.07045,3,0.0,0.0,1.0,True Eclipse
HD118203b,False,0.1683348521337168,0.0692378357805297,0.2672473606035361,0.05541,3,0.0,0.0,1.0,True Eclipse
KELT-1b,True,0.2306122260761743,0.1627632124817294,0.2947814732585184,0.07742,3,0.0,0.0,1.0,True Eclipse
WASP-80b,True,0.2167023578393527,0.1949977146264786,0.240592185108047,0.17137,3,0.0,0.0,1.0,True Eclipse
HAT-P-69b,False,0.3324100803217966,0.2246446562012755,0.4301293050619989,0.08703,3,0.0,0.0,1.0,True Eclipse
WASP-35b,False,0.2911153123230889,0.2199578963414828,0.3545346109690386,0.123695825,3,0.0,0.0,1.0,True Eclipse
WASP-77Ab,True,0.1148973369841872,0.0485840043126006,0.176111086062133,0.13354,3,0.0,0.0,1.0,True Eclipse
