Planet,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,k_rp_rs,Max Tier,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,dominant_regime
GJ9827b,False,0.4731798217554995,0.3228781075736373,0.6432342271029662,0.0242,2,0.00861,0.00079,0.9906,True Eclipse
WASP-188b,False,0.5945666822379843,0.4638077173926804,0.683147398875946,0.0742,2,0.00432,0.00528,0.9904,True Eclipse
HAT-P-3b,True,0.4964999428669018,0.3599167100833215,0.6398080412198661,0.1063,2,0.00455,0.00507,0.99038,True Eclipse
K2-29b,False,0.4598289485286537,0.3395530508905999,0.6210832588562979,0.1373,2,0.00158,0.00808,0.99034,True Eclipse
TOI-257b,False,0.6203329259936953,0.4855348572793538,0.7158864730539483,0.03521,2,0.00746,0.00232,0.99022,True Eclipse
HATS-51b,False,0.3345334194802624,0.1624483225817736,0.5445570676299835,0.101,2,0.00597,0.00391,0.99012,True Eclipse
WASP-158b,False,0.3075321589939231,0.1301888506378889,0.5252027749369084,0.079105089,2,0.00796,0.00223,0.98981,True Eclipse
WASP-172b,False,0.4352563123412266,0.2675466372336159,0.6218175800840637,0.084469851,2,0.0071,0.00314,0.98976,True Eclipse
HAT-P-52b,False,0.4418417017873272,0.2814769373756214,0.60447808001607,0.1161,2,0.00518,0.00515,0.98967,True Eclipse
Qatar-4b,False,0.3067481962017473,0.1293222790488956,0.5233598277164664,0.1379,2,0.00449,0.00586,0.98965,True Eclipse
WASP-44b,False,0.5127627461433253,0.3739846288298139,0.6512764414059488,0.1248,2,0.00498,0.0098,0.98522,True Eclipse
K2-261b,False,0.4072961674780607,0.2438449763378358,0.6516665903642314,0.05274,2,0.009,0.00634,0.98466,True Eclipse
IRAS04125+2902b,False,0.3532028832018674,0.1374414489921917,0.5989105151362749,0.0679,2,0.00881,0.00657,0.98462,True Eclipse
TOI-2714b,False,0.3586141794921245,0.209239442737602,0.5762491552106901,0.101,2,0.00747,0.00797,0.98456,True Eclipse
HAT-P-50b,False,0.600780923376733,0.4687790300082191,0.7129535702053842,0.0782,2,0.00679,0.0093,0.98391,True Eclipse
WASP-70Ab,False,0.4198516696245761,0.2852673659489586,0.6161977888573763,0.09844919,2,0.00831,0.00889,0.9828,True Eclipse
EPIC246851721b,False,0.6304350444943514,0.4954000961766426,0.7225529291532046,0.0681,2,0.00656,0.01109,0.98235,True Eclipse
HAT-P-34b,False,0.4527183304359876,0.2890110682814508,0.6608781318151181,0.0801,2,0.0083,0.01062,0.98108,True Eclipse
TOI-544b,False,0.6410812226289919,0.4846403820417544,0.7711086814087376,0.0297,2,0.00992,0.00937,0.98071,True Eclipse
WASP-113b,False,0.4768677790579754,0.3403838225164871,0.6591489003299034,0.090045164,2,0.00844,0.01153,0.98003,True Eclipse
TOI-3235b,False,0.5005552139216811,0.3953257507879332,0.5751767030873178,0.2828,2,0.0,0.02101,0.97899,True Eclipse
TOI-1811b,False,0.7613660272509444,0.7128878871689396,0.8100029020079773,0.13272,2,0.0,0.02124,0.97876,True Eclipse
TrES-5b,False,0.5903861457457998,0.4599165176616009,0.6834312037484056,0.143,2,0.00232,0.01949,0.97819,True Eclipse
HATS-42b,False,0.4156053318261617,0.2125234718973556,0.6387283734714296,0.0976,2,0.00905,0.01315,0.9778,True Eclipse
WASP-153b,False,0.5954617248494729,0.4541557539566844,0.7265748780492542,0.092,2,0.00706,0.01567,0.97727,True Eclipse
WASP-92b,False,0.588818598169236,0.4538589737585047,0.7135752795134004,0.111958451,2,0.00633,0.01665,0.97702,True Eclipse
TOI-1248b,False,0.5691434650706759,0.4145795656213641,0.7279164175646652,0.07186602,2,0.00824,0.0148,0.97696,True Eclipse
HATS-58Ab,False,0.6314145173437103,0.5015016957627041,0.7408730594419478,0.0786,2,0.00776,0.01603,0.97621,True Eclipse
TOI-674b,False,0.6037994737616246,0.4740202080737145,0.7131370196828138,0.114,2,0.00579,0.01881,0.9754,True Eclipse
HATS-25b,False,0.5105554664266524,0.3497148428241713,0.6842763107616577,0.1171,2,0.00667,0.01863,0.9747,True Eclipse
TOI-672b,False,0.4091602097011477,0.2478002911862916,0.6429627134749586,0.0885,2,0.0095,0.01632,0.97418,True Eclipse
TOI-954b,False,0.5161346857235676,0.4194572180294181,0.714556564485188,0.0462,2,0.013,0.01501,0.97199,True Eclipse
WASP-24b,True,0.6375883260735019,0.500146267777561,0.738434915753031,0.099867962,2,0.00668,0.02192,0.9714,True Eclipse
TOI-4791b,False,0.6391951319795404,0.5017558523643624,0.750678846936835,0.080955699,2,0.00767,0.02126,0.97107,True Eclipse
LHS475b,False,0.6735362630402024,0.5156225622131971,0.7997264601440691,0.03171,2,0.01749,0.01346,0.96905,True Eclipse
HD219666b,False,0.8310137644634883,0.7640390286292272,0.8985428351088555,0.0421,2,0.00453,0.0289,0.96657,True Eclipse
WASP-175b,False,0.6161131062715604,0.469760668315995,0.7527040975550227,0.103104089,2,0.00807,0.02622,0.96571,True Eclipse
WASP-120b,False,0.7356249804316553,0.6515447906858437,0.8297495261424587,0.080946222,2,0.00323,0.03477,0.962,True Eclipse
HATS-56b,False,0.6772125788085718,0.523861436108092,0.7750992635141891,0.0789,2,0.00911,0.03065,0.96024,True Eclipse
HATS-65b,False,0.651408154220138,0.5087239268436973,0.7526371215414766,0.1181,2,0.00595,0.03675,0.9573,True Eclipse
HATS-12b,False,0.5653851825171334,0.3779563982705802,0.7682413049531747,0.063,2,0.0154,0.02823,0.95637,True Eclipse
GJ1252b,False,0.4265382360416606,0.1898228722708376,0.7279966104876539,0.0277,2,0.03237,0.01158,0.95605,True Eclipse
TOI-622b,False,0.60716312392779,0.4444651040296001,0.7890849839322778,0.05989,2,0.01664,0.03052,0.95284,True Eclipse
TOI-1468c,False,0.7096634364213339,0.6143523367945367,0.8436741497115885,0.0526,2,0.01356,0.03561,0.95083,True Eclipse
HATS-31b,False,0.4594905821315801,0.2740552295880071,0.720122071615905,0.0908,2,0.01429,0.037,0.94871,True Eclipse
WASP-170b,False,0.6756919241440307,0.5312718273745591,0.7788750260780696,0.1175,2,0.00783,0.04966,0.94251,True Eclipse
HATS-39b,False,0.6688225128163076,0.5200056947345792,0.8000972223353818,0.0993,2,0.00967,0.04961,0.94072,True Eclipse
TOI-2587Ab,False,0.688737054435994,0.5346977360496571,0.8262471090305896,0.064122487,2,0.01738,0.0429,0.93972,True Eclipse
HAT-P-42b,False,0.5664550859342449,0.4025786681737256,0.7808606699772048,0.086,2,0.01885,0.0432,0.93795,True Eclipse
HATS-68b,False,0.7231145372670318,0.5653197617747135,0.8286275070718946,0.0725,2,0.01851,0.04977,0.93172,True Eclipse
TOI-2076d,False,0.765636975902257,0.598195311979338,0.8708428058245657,0.038,2,0.03597,0.03476,0.92927,True Eclipse
WASP-36b,True,0.6812528668587291,0.5322191383276154,0.7762029561560319,0.13677,2,0.00717,0.06513,0.9277,True Eclipse
WASP-98b,False,0.6770597914675258,0.5317237915231011,0.7673611256276015,0.15824,2,0.00392,0.06969,0.92639,True Eclipse
K2-30b,False,0.7383586906356296,0.6531962676574113,0.827002491746637,0.1302,2,0.00015,0.07531,0.92454,True Eclipse
WASP-58b,False,0.4404952799605239,0.2024474454142225,0.7350177068120307,0.120328956,2,0.01823,0.06081,0.92096,True Eclipse
HD260655c,False,0.8977082975825359,0.8478067902085873,0.9479046396967412,0.032,2,0.00821,0.07104,0.92075,True Eclipse
WASP-96b,True,0.689132396662175,0.5350502875091789,0.8085855478699278,0.117443069,2,0.00917,0.07059,0.92024,True Eclipse
TOI-4641b,False,0.7665836626857847,0.6004353905252995,0.8808984335777592,0.042,2,0.03875,0.04158,0.91967,True Eclipse
WASP-165b,False,0.511518666625578,0.3068924579393705,0.7918610335535563,0.0738,2,0.03837,0.04407,0.91756,True Eclipse
TOI-1803c,False,0.7562657257149237,0.590979411525354,0.8726988390281472,0.055,2,0.02814,0.05433,0.91753,True Eclipse
NGTS-33b,False,0.7264323292286468,0.5821186574775824,0.8205232258894944,0.1146,2,0.00862,0.0748,0.91658,True Eclipse
K2-238b,False,0.5645593359251642,0.3676982956592577,0.8078169025472014,0.08,2,0.0301,0.05419,0.91571,True Eclipse
WASP-72b,False,0.566614907190331,0.3603472892007505,0.8269597149613376,0.0656,2,0.0367,0.04887,0.91443,True Eclipse
TOI-1759b,False,0.4693435289686307,0.2059180547687001,0.8071959419302519,0.049,2,0.05655,0.03033,0.91312,True Eclipse
K2-406b,False,0.50978140425159,0.2578164957974589,0.8263704984711723,0.0439,2,0.0582,0.0307,0.9111,True Eclipse
TOI-1266c,False,0.754381345684433,0.5883122219966843,0.8894564918715581,0.0453,2,0.04009,0.04905,0.91086,True Eclipse
TOI-1758b,False,0.5017399139016145,0.2273940545780211,0.8314191808655175,0.03999075,2,0.06048,0.02905,0.91047,True Eclipse
HD207496b,False,0.5228004202838759,0.2395174375055276,0.8537840816488085,0.02663,2,0.06852,0.02192,0.90956,True Eclipse
L98-59b,False,0.5940196679435822,0.4486857799448003,0.8656583238410251,0.02512,2,0.07285,0.02183,0.90532,True Eclipse
HATS-1b,False,0.658916568974079,0.4486974955835512,0.8261166702395046,0.1288,2,0.00679,0.09086,0.90235,True Eclipse
TOI-540b,False,0.7460288714573416,0.5698465203047387,0.9010253436786836,0.0436,2,0.04653,0.05404,0.89943,True Eclipse
TOI-1820b,False,0.8504856361195531,0.795867213721903,0.906493584846275,0.0777,2,0.0,0.10101,0.89899,True Eclipse
TrES-4b,True,0.721994527182365,0.5623548616058204,0.8497320358024214,0.10452,2,0.01454,0.08915,0.89631,True Eclipse
HAT-P-61b,False,0.7512894424472937,0.6018394757884706,0.8633451236892444,0.0984,2,0.01801,0.09163,0.89036,True Eclipse
WASP-46b,True,0.7228633911524491,0.5750577659964066,0.8209339996550344,0.14075,2,0.00801,0.10298,0.88901,True Eclipse
GJ3090b,False,0.6978881475512042,0.5542240132718597,0.9093500164737002,0.0379,2,0.06785,0.04519,0.88696,True Eclipse
TOI-1994b,False,0.5472485884555746,0.2674112564213825,0.8783609008461378,0.05449,2,0.06805,0.04908,0.88287,True Eclipse
TOI-1823b,False,0.4141906783427849,0.1309076483017348,0.8277582979506766,0.08589249,2,0.06491,0.05495,0.88014,True Eclipse
WASP-142b,False,0.7539633279912772,0.5928182593974921,0.876042622018303,0.095870066,2,0.02066,0.10012,0.87922,True Eclipse
WASP-2b,False,0.7324711797349168,0.5712033953344839,0.8404806222720002,0.12831,2,0.01047,0.11055,0.87898,True Eclipse
HAT-P-46b,False,0.655292996399264,0.3588824710448318,0.8749767755737301,0.0942,2,0.01969,0.10457,0.87574,True Eclipse
TOI-2969b,False,0.6907739429870706,0.5409251606007398,0.8180182323556885,0.1613,2,0.00873,0.12042,0.87085,True Eclipse
HIP67522c,False,0.3466326530801732,0.1184246652405603,0.869810080206237,0.0528,2,0.09673,0.03475,0.86852,True Eclipse
TOI-2842b,False,0.7589539814146511,0.5900424094806772,0.8862356910898463,0.093095681,2,0.02433,0.10821,0.86746,True Eclipse
HAT-P-54b,False,0.7227965080233242,0.5642552194715983,0.8265704419907159,0.1572,2,0.00866,0.12987,0.86147,True Eclipse
WASP-49b,False,0.7495137048067685,0.5754329292253986,0.867258781479714,0.118602791,2,0.0167,0.12231,0.86099,True Eclipse
TOI-6324b,False,0.8151762272036182,0.6389875986099952,0.95465382027386,0.0331,2,0.07953,0.06219,0.85828,True Eclipse
TOI-3819b,False,0.7848245232584974,0.6007740672558279,0.9105720577680484,0.078308106,2,0.03866,0.10484,0.8565,True Eclipse
KPS-1b,False,0.729118939738024,0.5501109906542735,0.8898623232827039,0.1143,2,0.02332,0.14279,0.83389,True Eclipse
WASP-135b,False,0.7341082841484394,0.5758066649981518,0.8652684815817983,0.139157803,2,0.0108,0.15718,0.83202,True Eclipse
TOI-157b,False,0.7888177817727859,0.620120831725454,0.8926376354167425,0.11329,2,0.0193,0.15101,0.82969,True Eclipse
TOI-178g,False,0.8449589605138368,0.6723608899448055,0.968107568859496,0.0404,2,0.08908,0.08283,0.82809,True Eclipse
HD219134b,False,0.8990285990132287,0.8113789924804063,0.985918161327582,0.01892494,2,0.09033,0.08304,0.82663,True Eclipse
CoRoT-11b,False,0.8028383188317605,0.6389799852840244,0.9033766704320338,0.107,2,0.0271,0.15072,0.82218,True Eclipse
TrES-2b,True,0.8217563805128612,0.7716305360618683,0.8777739108350409,0.1278,2,0.0,0.18518,0.81482,True Eclipse
HD106315c,False,0.6892247975025197,0.5262879948133562,1.011679863610234,0.03086,2,0.15118,0.03786,0.81096,True Eclipse
TOI-1194b,False,0.8425356786182486,0.7583580069552012,0.9286619521364534,0.08196,2,0.00839,0.1831,0.80851,True Eclipse
WASP-16b,False,0.7650725540942933,0.5904299538266125,0.9104397256557551,0.109974102,2,0.03044,0.16402,0.80554,True Eclipse
TOI-5108b,False,0.8497905264256057,0.6739534899351597,0.978523519997978,0.0472,2,0.09363,0.10399,0.80238,True Eclipse
K2-107b,False,0.7883998913055996,0.6129761765066668,0.9422962519288284,0.083,2,0.04791,0.15019,0.8019,True Eclipse
TOI-2005b,False,0.552177406895574,0.3071864224663085,1.081604325056202,0.05107,2,0.17132,0.04387,0.78481,True Eclipse
