Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction
KELT-20b,MCS,True,0.48701494666932754,0.38220290933799567,0.5703969608994157,0.11046972324167684,0.10481203733133188,0.08338201423008818,0.1144,1.1144,1,Premium (non-grazing),0.500375
WASP-46b,MCS,True,0.7191834105121397,0.5639577264432134,0.8132189377776115,0.1489630903464425,0.15522568406892634,0.09403552726547171,0.14075,1.14075,1,Premium (non-grazing),0.4972083333333333
WASP-17b,MCS,True,0.3729195919916705,0.26999199457290185,0.47784680767798965,0.10887090786792757,0.10292759741876867,0.10492721568631913,0.130152994,1.130152994,1,Premium (non-grazing),0.5023020833333334
