Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction,Star Name,Star Temperature [K],Star H Mag,Star J Mag,Planet Period [days],Eccentricity,Inclination,Impact Parameter,Transit Depth [%],Planet Radius [Rjup],Planet Radius [Re],Planet Transit Temperature [K],Planet Eclipse Temperature [K],observed_flag,abs_b_occ_84,abs_b_occ_median,lower_grazing,upper_grazing,grazing_depth
Qatar-6b,MCS,False,0.8499775084955353,0.673902642772263,0.9652266390716072,0.1684980412532113,0.1760748657232723,0.115249130576072,0.1516,1.1516,1,Premium (non-grazing),0.483875,Qatar-6,5063.0,9.307,9.711999893,3.506195,0.051,85.95,0.852,2.321868041,1.164,13.04725357,1040.200608,996.1435902,False,0.9652266390716072,0.8499775084955353,0.8484,1.1516,0.11682663907160717
TOI-1273b,MCS,False,0.9069200792653596,0.6908528658440305,1.0311290178655166,0.1820983421159152,0.216067213421329,0.124208938600157,0.096,1.096,2,Good (includes grazing),0.4531979166666667,TOI-1273,5690.0,9.515,9.81400013,4.631296,0.055,84.79385024,0.958,0.92114828,0.99,11.09689092,1238.262261,1175.836499,False,1.0311290178655166,0.9069200792653596,0.904,1.096,0.12712901786551656
TIC46432937b,MCS,False,0.8100724132202913,0.6451398276692406,0.9101705098781896,0.161160226511756,0.1649325855510507,0.1000980966578983,0.2301,1.2301,1,Premium (non-grazing),0.4920624999999999,TIC46432937,3572.0,10.427,11.01099968,1.44044527,0.0,84.35,0.825,5.307816851,1.188,13.31626911,872.4660413,872.4660413,False,0.9101705098781896,0.8100724132202913,0.7699,1.2301,0.14027050987818956
TOI-677b,MCS,False,0.920476042135912,0.6522489300986258,1.0503837321613263,0.2008081512782014,0.2682271120372861,0.1299076900254143,0.09404,1.09404,2,Good (includes grazing),0.4323333333333333,TOI-677,6295.0,8.47,8.722000122,11.2366063,0.46,85.77,0.709,0.882312985,1.17,13.11450746,1438.279251,0.0,False,1.0503837321613263,0.920476042135912,0.90596,1.09404,0.1444237321613263
TOI-3807b,MCS,False,0.9330022399139106,0.7349619017410455,1.0357588748793949,0.1722739074385289,0.1980403381728651,0.102756634965484,0.115503018,1.115503018,2,Good (includes grazing),0.45771875,TOI-3807,5772.0,10.634,10.95600033,2.8989727,0.0,80.81,1.0,1.36,1.65,18.49481821,1647.1272,1647.1272,False,1.0357588748793949,0.9330022399139106,0.884496982,1.115503018,0.15126189287939484
WASP-67b,MCS,True,0.8845983047250094,0.6879639101767151,1.0193810435206994,0.18032682750529,0.1966343945482943,0.1347827387956899,0.134292145,1.134292145,2,Good (includes grazing),0.47065625,WASP-67,5200.0,10.214,10.6079998,4.61441644,0.0,85.8,0.939646069,1.8,1.15,12.89032784,1026.537969,1026.537969,True,1.0193810435206994,0.8845983047250094,0.865707855,1.134292145,0.15367318852069933
WASP-168b,MCS,False,0.8647369108808954,0.6592271612961305,1.0173810600488946,0.1852609105955394,0.2055097495847649,0.1526441491679991,0.137628596,1.137628596,2,Good (includes grazing),0.469125,WASP-168,6000.0,10.493,10.77799988,4.1536573,0.0,84.4,0.97,1.19,1.5,16.8134711,1370.020132,1370.020132,False,1.0173810600488946,0.8647369108808954,0.862371404,1.1376285959999999,0.1550096560488946
K2-25b,MCS,False,0.9494947712707782,0.7158164001393761,1.0501580380444746,0.1846739837407325,0.2336783711314021,0.1006632667736964,0.1075,1.1075,2,Good (includes grazing),0.4426666666666667,K2-25,3207.0,10.732,11.30300045,3.48456248,0.428,87.16,0.628,1.155,0.306,3.429948104,639.6586026,0.0,False,1.0501580380444746,0.9494947712707782,0.8925,1.1075,0.15765803804447465
WASP-145Ab,MCS,False,0.8806843236690549,0.6324653481537436,1.049217309617696,0.203066115684115,0.2482189755153113,0.168532985948641,0.136009436,1.136009436,2,Good (includes grazing),0.4556041666666667,WASP-145A,4900.0,9.292,9.843000412,1.76903814,0.0,83.3,0.97,1.16,0.9,10.08808266,1171.993939,1171.993939,False,1.049217309617696,0.8806843236690549,0.863990564,1.136009436,0.18522674561769603
TOI-2796b,MCS,False,0.892502745704455,0.6824814899442667,1.0380797023463155,0.1847281574153265,0.2100212557601882,0.1455769566418605,0.14803979,1.14803979,2,Good (includes grazing),0.4664270833333333,TOI-2796,5764.0,10.976,11.28600025,4.8084983,0.0,85.22,0.97,2.24,1.54,17.26183033,1205.551754,1205.551754,False,1.0380797023463155,0.892502745704455,0.85196021,1.14803979,0.18611949234631553
WASP-34b,MCS,False,0.9513472830728964,0.7324995448694066,1.0595734297750292,0.1792569567955358,0.2188477382034899,0.1082261467021327,0.134806963,1.134806963,2,Good (includes grazing),0.4577708333333333,WASP-34,5700.0,8.842,9.171999931,4.31768411,0.038,85.2,0.904,1.261,1.22,13.67495649,1144.472366,1172.896144,False,1.0595734297750292,0.9513472830728964,0.865193037,1.134806963,0.19438039277502916
TOI-2193Ab,MCS,False,0.9432733927652132,0.7387692226827519,1.0505665182028163,0.1761083562623661,0.2045041700824612,0.1072931254376031,0.145745154,1.145745154,2,Good (includes grazing),0.4631458333333333,TOI-2193A,5966.0,10.462,10.7670002,2.1225735,0.0,79.96,0.99,0.0191,1.77,19.83989589,1765.428759,1765.428759,False,1.0505665182028163,0.9432733927652132,0.854254846,1.145745154,0.1963116722028163
WASP-140b,MCS,False,0.8793196250779156,0.6835778692646243,1.0295428969301597,0.1840282267671548,0.1957417558132913,0.150223271852244,0.170089961,1.170089961,2,Good (includes grazing),0.4706875,WASP-140,5260.0,9.24,9.609000206,2.23598448,0.047,83.3,0.93,2.05,1.44,16.14093225,1317.824617,1317.824617,False,1.0295428969301597,0.8793196250779156,0.829910039,1.170089961,0.1996328579301596
K2-31b,MCS,False,0.9423378392396102,0.7061733281816054,1.0707473688146931,0.1889667594030898,0.2361645110580048,0.1284095295750829,0.135,1.135,2,Good (includes grazing),0.4493125,K2-31,5280.0,8.942,9.31799984,1.25784887,0.0,79.9,0.975,1.950264034,1.06,11.88151957,1517.893277,1517.893277,False,1.0707473688146931,0.9423378392396102,0.865,1.135,0.20574736881469313
WASP-183b,MCS,False,0.8483971931677131,0.6249048864944832,1.0347610490368189,0.2034235643940918,0.2234923066732299,0.1863638558691057,0.173434153,1.173434153,2,Good (includes grazing),0.4707604166666667,WASP-183,5313.0,11.268,11.63899994,4.1117634,0.0,85.37,0.916,2.26,1.47,16.47720167,1110.73845,1110.73845,False,1.0347610490368189,0.8483971931677131,0.826565847,1.173434153,0.20819520203681885
TOI-4515b,MCS,False,1.0071418855460543,0.7686700517645718,1.082180572171532,0.1781845107538067,0.2384718337814827,0.0750386866254775,0.13,1.13,2,Good (includes grazing),0.4386770833333333,TOI-4515,5433.0,10.19,10.625,15.266446,0.461,87.954,0.772,1.683967225,1.086,12.17295307,826.2813753,761.9755611,False,1.082180572171532,1.0071418855460543,0.87,1.13,0.21218057217153208
TOI-5143c,MCS,False,0.941413942619998,0.7424543352787177,1.0443144132106092,0.1747516304676217,0.1989596073412803,0.1029004705906111,0.175,1.175,2,Good (includes grazing),0.4679895833333333,TOI-5143,5183.0,10.101,10.47399998,5.2097118,0.0,86.02,0.98,3.058635336,1.45,16.25302206,974.6338848,974.6338848,False,1.0443144132106092,0.941413942619998,0.825,1.175,0.2193144132106093
WASP-177b,MCS,False,0.9092754270282264,0.6931044114358346,1.0700302523057288,0.1942111357685352,0.2161710155923917,0.1607548252775025,0.183463325,1.183463325,2,Good (includes grazing),0.4640833333333333,WASP-177,5017.0,10.244,10.65400028,3.07172019,0.0,84.14,0.98,1.85,1.58,17.71018955,1144.372491,1144.372491,False,1.0700302523057288,0.9092754270282264,0.816536675,1.183463325,0.25349357730572875
