Planet Name,Star Name,Pocc_median,Pocc_16 (lower),Pocc_84 (upper),Uncertainty Range,Transit_depth_median,Transit_depth_16 (lower),Transit_depth_84 (upper),Transit_depth_ppm,Transit_depth_source,Eclipse_depth_median,Eclipse_depth_16 (lower),Eclipse_depth_84 (upper),Eclipse_depth_ppm,Planet_Teq_K,Planet_temp_source,TSM_median,TSM_16 (lower),TSM_84 (upper),ESM_median,ESM_16 (lower),ESM_84 (upper),Reliability Score,Data Quality,MCMC Converged
1586.01,1586.01,1.0,1.0,1.0,0.0,0.0004738692258027711,0.00041365481508729747,0.000544518334067543,473.8692258027711,calculated,0.00024690046940730137,0.0002155269058559889,0.000283710831937658,246.90046940730136,3931.961011504896,dataset,2.3282016570075212,1.9502495088693175,2.7690239787319966,48640954.00828361,42460163.56491711,55892828.235843815,1.0,High,True
2856.01,2856.01,1.0,1.0,1.0,0.0,0.0010618018666489204,0.0009205525443189596,0.001221374951768375,1061.8018666489204,calculated,0.00030791385524492197,0.0002669527072610566,0.00035418874453997304,307.913855244922,3830.601194160805,dataset,7.955649130571093,6.627632732131958,9.456625123809856,23885858.66400594,20708371.926100615,27475549.243258752,1.0,High,True
4811.01,4811.01,1.0,1.0,1.0,0.0,0.0010988221783971735,0.0009610722685036847,0.001262850196224313,1098.8221783971735,calculated,0.00046782465759833764,0.00040917749366492983,0.0005376597526529798,467.82465759833764,4005.742527932483,dataset,2.206702856464283,1.8579564370741959,2.6262985050984335,40866321.85600579,35743261.67027629,46966691.78092336,1.0,High,True
4236.01,4236.01,1.0,1.0,1.0,0.0,0.004502217718683425,0.003913653736760634,0.0051820471493634,4502.217718683424,calculated,0.0010395355212570994,0.0009036395686463981,0.0011965041277851919,1039.5355212570994,4238.865842582977,dataset,7.135291411210498,5.951150627637305,8.479841468261979,110135882.443102,95738086.16277282,126766267.49712066,1.0,High,True
885.01,885.01,1.0,1.0,1.0,0.0,0.00039127220103386514,0.0003411002175781581,0.0004479942191417875,391.27220103386514,calculated,0.0001096495353243641,9.558941385986013e-05,0.00012554522868504715,109.6495353243641,3413.8147772785205,dataset,2.6214822724429867,2.187686974987633,3.104350496610055,25071534.962190777,21856666.555980276,28706109.706732135,1.0,High,True
3130.01,3130.01,1.0,1.0,1.0,0.0,0.0032974896832925296,0.002901371303951639,0.0037958869452299243,3297.4896832925297,calculated,0.0012220758870822037,0.0010752712671086165,0.0014067858739208342,1222.0758870822037,3992.4924117096007,dataset,3.8649563881025983,3.2557102528953683,4.611253278270065,63247671.861298844,55649902.745682895,72807206.38821542,1.0,High,True
3388.01,3388.01,1.0,1.0,1.0,0.0,0.0003153516286645162,0.00027346679573957535,0.0003617789077045772,315.35162866451617,calculated,0.00011933023423429687,0.00010348085700112967,0.00013689849004503633,119.33023423429687,3897.952154249667,dataset,6.88946579093999,5.733742698268336,8.211131651080905,19261653.317749538,16703330.931755625,22097427.964429513,1.0,High,True
1576.01,1576.01,1.0,1.0,1.0,0.0,0.00026007909863445843,0.00022591941923228129,0.000297988022420158,260.07909863445843,calculated,0.00015490777871562863,0.00013456166060920354,0.00017748701406355036,154.90777871562864,4370.5392908030135,dataset,9.96558645627078,8.316462051316568,11.891744842439621,41682388.7332196,36207681.064207956,47757980.758837946,1.0,High,True
326.01,326.01,1.0,1.0,1.0,0.0,0.0032423280021955905,0.0028077923522145483,0.0037308116069522572,3242.3280021955907,calculated,0.0008755711941508448,0.0007582274529570558,0.0010074832563636376,875.5711941508448,3909.9418942106568,dataset,30.810572197055134,25.542449793431228,36.5566381052122,91522232.33604519,79256455.18798098,105310815.70472795,1.0,High,True
2767.01,2767.01,1.0,1.0,1.0,0.0,0.0005410796656545437,0.0004724442854097031,0.0006214977937329455,541.0796656545438,calculated,0.00023586300173626578,0.0002059440307650044,0.00027091821132289504,235.86300173626577,4081.4344909081474,dataset,8.318669751024732,6.978591980952531,9.916157704883762,35306077.78086381,30827539.356190044,40553454.21200889,1.0,High,True
